REGION	MEASURE	INDEX	TSEST	FREQUENCY	TIME_FORMAT	obsTime	obsValue	city	obsValuerel	up
50	1	30014	10	Q	P3M	1988-01-01T00:00:00Z	42.4	"All
Australian
capitals"	1.10581222056632	FALSE
50	1	30014	10	Q	P3M	1988-04-01T00:00:00Z	43.4	"All
Australian
capitals"	1.11122934193463	FALSE
50	1	30014	10	Q	P3M	1988-07-01T00:00:00Z	44.8	"All
Australian
capitals"	1.12651035203449	FALSE
50	1	30014	10	Q	P3M	1988-10-01T00:00:00Z	45.8	"All
Australian
capitals"	1.12916239754098	FALSE
50	1	30014	10	Q	P3M	1989-01-01T00:00:00Z	46.9	"All
Australian
capitals"	1.14509940704569	FALSE
50	1	30014	10	Q	P3M	1989-04-01T00:00:00Z	47.8	"All
Australian
capitals"	1.13844726260439	FALSE
50	1	30014	10	Q	P3M	1989-07-01T00:00:00Z	48.8	"All
Australian
capitals"	1.13653136531365	FALSE
50	1	30014	10	Q	P3M	1989-10-01T00:00:00Z	49.6	"All
Australian
capitals"	1.13423616060822	FALSE
50	1	30014	10	Q	P3M	1990-01-01T00:00:00Z	50.2	"All
Australian
capitals"	1.12753048246893	FALSE
50	1	30014	10	Q	P3M	1990-04-01T00:00:00Z	50.8	"All
Australian
capitals"	1.12302259481496	FALSE
50	1	30014	10	Q	P3M	1990-07-01T00:00:00Z	51.5	"All
Australian
capitals"	1.13057733428368	FALSE
50	1	30014	10	Q	P3M	1990-10-01T00:00:00Z	52.1	"All
Australian
capitals"	1.11467074187274	FALSE
50	1	30014	10	Q	P3M	1991-01-01T00:00:00Z	52.4	"All
Australian
capitals"	1.12299256867711	FALSE
50	1	30014	10	Q	P3M	1991-04-01T00:00:00Z	52.8	"All
Australian
capitals"	1.12964712420117	FALSE
50	1	30014	10	Q	P3M	1991-07-01T00:00:00Z	53	"All
Australian
capitals"	1.12818953363006	FALSE
50	1	30014	10	Q	P3M	1991-10-01T00:00:00Z	53.1	"All
Australian
capitals"	1.1189961411095	FALSE
