"","Var1","Freq"
"879"," 1756000",0
"880"," 1758000",0
"881","[ 1760000, 1762000)",1
"882"," 1762000",0
"883","[ 1764000, 1766000)",2
"884","[ 1766000, 1768000)",1
"885"," 1768000",0
"886"," 1770000",0
"887"," 1772000",0
"888"," 1774000",0
"889"," 1776000",0
"890"," 1778000",0
"891"," 1780000",0
"892"," 1782000",0
"893"," 1784000",0
"894"," 1786000",0
"895","[ 1788000, 1790000)",1
"896","[ 1790000, 1792000)",2
"897","[ 1792000, 1794000)",1
"898"," 1794000",0
"899"," 1796000",0
"900"," 1798000",0
"901"," 1800000",0
"902"," 1802000",0
"903"," 1804000",0
"904"," 1806000",0
"905"," 1808000",0
"906","[ 1810000, 1812000)",1
"907"," 1812000",0
"908"," 1814000",0
"909"," 1816000",0
"910"," 1818000",0
"911"," 1820000",0
"912"," 1822000",0
"913"," 1824000",0
"914"," 1826000",0
"915","[ 1828000, 1830000)",1
"916","[ 1830000, 1832000)",1
"917"," 1832000",0
"918"," 1834000",0
"919"," 1836000",0
"920"," 1838000",0
"921"," 1840000",0
"922"," 1842000",0
"923"," 1844000",0
"924"," 1846000",0
"925"," 1848000",0
"926"," 1850000",0
"927"," 1852000",0
"928"," 1854000",0
"929","[ 1856000, 1858000)",1
"930"," 1858000",0
"931"," 1860000",0
"932"," 1862000",0
"933"," 1864000",0
"934"," 1866000",0
"935"," 1868000",0
"936"," 1870000",0
"937"," 1872000",0
"938"," 1874000",0
"939"," 1876000",0
"940"," 1878000",0
"941"," 1880000",0
"942","[ 1882000, 1884000)",1
"943"," 1884000",0
"944"," 1886000",0
"945"," 1888000",0
"946","[ 1890000, 1892000)",1
"947"," 1892000",0
"948"," 1894000",0
"949"," 1896000",0
"950"," 1898000",0
"951"," 1900000",0
"952","[ 1902000, 1904000)",2
"953","[ 1904000, 1906000)",1
"954"," 1906000",0
"955","[ 1908000, 1910000)",1
"956","[ 1910000, 1912000)",1
"957","[ 1912000, 1914000)",2
"958"," 1914000",0
"959"," 1916000",0
"960","[ 1918000, 1920000)",2
"961"," 1920000",0
"962"," 1922000",0
"963","[ 1924000, 1926000)",1
"964"," 1926000",0
"965"," 1928000",0
"966"," 1930000",0
"967","[ 1932000, 1934000)",1
"968"," 1934000",0
"969"," 1936000",0
"970","[ 1938000, 1940000)",1
"971"," 1940000",0
"972"," 1942000",0
"973"," 1944000",0
"974"," 1946000",0
"975"," 1948000",0
"976"," 1950000",0
"977"," 1952000",0
"978"," 1954000",0
"979","[ 1956000, 1958000)",2
"980"," 1958000",0
"981"," 1960000",0
"982"," 1962000",0
"983"," 1964000",0
"984"," 1966000",0
"985"," 1968000",0
"986"," 1970000",0
"987"," 1972000",0
"988"," 1974000",0
"989"," 1976000",0
"990","[ 1978000, 1980000)",2
"991"," 1980000",0
"992"," 1982000",0
"993"," 1984000",0
"994"," 1986000",0
"995"," 1988000",0
"996"," 1990000",0
"997"," 1992000",0
"998"," 1994000",0
"999"," 1996000",0
"1000","[ 1998000, 2000000)",1
"1001","[ 2000000, 2002000)",1
"1002","[ 2002000, 2004000)",1
"1003"," 2004000",0
"1004"," 2006000",0
"1005"," 2008000",0
"1006"," 2010000",0
"1007"," 2012000",0
"1008"," 2014000",0
"1009"," 2016000",0
