"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Work-related self-education expenses - blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131810	192410	144545	131980	26190	24238	12572	10555
"Work-related self-education expenses - blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84998422	118830392	91866252	86740487	28886056	25926995	13116410	10202106
"Total work-related self-education expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	434580	442840	458570	508435	482425	491310	559280	509030	513065	516350	528065	534980	533720	533405	530665	624790	726380	689785	691635	653220	619043	581118	598425
"Total work-related self-education expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.18e+08	3.49e+08	3.85e+08	4.36e+08	469022722	530623316	618369361	574636475	625187802	672887563	715778173	752075457	784493134	813352318	866398509	955844945	1084667803	1109891222	1143722165	1201565950	1168244841	1124368874	1132559444
"Other work-related expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4332970	4306265	4333345	4441565	4915645	5017980	5127245	5328405	5618295	5775215	5239105	5287430	5483665	5690545	5906300	6104450	6360155	6347360	6445275	6631200	6875463	6855127	6793862
"Other work-related expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.207e+09	2.082e+09	2.124e+09	2.221e+09	2614451495	2708537537	2774937779	2827794025	3105454004	3407798556	3675008390	3839997877	4195829639	4542579486	4960686849	5394661617	5867778759	6002676642	6249800321	6639450624	7069880886	7235161400	7311887547
"Total work-related expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	4911490	NA	5877335	5940785	5797250	5537290	5506435	5681045	6141875	6230765	6359875	6525590	6847070	7016340	6947750	7066925	7297660	7540715	7771150	8041825	8428670	8355285	8456865	8675620	8857293	8722401	8596717
"Total work-related expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.171e+09	NA	4.804e+09	5.176e+09	5.355e+09	5.032e+09	5.101e+09	5.525e+09	6385829817	6640620597	7006828647	7316915249	8323000346	9330157188	10307723016	10827791993	11740687595	12611631822	13800068143	15048362449	16543366841	17141042844	17938958313	19021248736	20064108859	20316297414	20782318726
"Low value pool deduction"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	103170	143085	178415	204045	230875	249310	265685	272980	283030	293520	310798	297043	298628
"Low value pool deduction"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53632965	74070194	93771638	104386771	110930263	112695718	115085261	114740305	116328116	120352069	127224684	127725321	129635763
"Interest and dividend deductions"	"no."	NA	NA	NA	NA	119365	NA	NA	NA	NA	NA	NA	839300	1197220	1484230	1600005	1679360	1845875	1907945	1922110	1851555	1705405	1711960	1661955	1156390	964580	967980	990350	950075	969820	957710	904340	NA	NA	NA	NA	NA
"Interest and dividend deductions"	"$"	NA	NA	NA	NA	42205000	NA	NA	NA	NA	NA	NA	5.7e+08	4.97e+08	5.59e+08	4.66e+08	5.17e+08	5.94e+08	1023676412	1110995958	1301669962	867754981	1045664778	1323080079	1404048130	1570085480	1873846909	2344782318	2893705634	3790194354	4221110284	3385830937	NA	NA	NA	NA	NA
"Interest deductions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	535665	498160	450293	379426	334906
"Interest deductions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1529741420	1394045792	1230900859	962968637	826874426
"Dividend deductions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	301200	311940	293844	274796	268140
"Dividend deductions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1514643375	1661774349	1455568844	1252597535	1132828089
"Gifts or donations"	"no."	NA	NA	NA	NA	NA	NA	NA	3925705	3560850	3645335	NA	NA	NA	NA	3134555	3156225	3170370	3259235	3232260	3300100	3392450	3471650	3565275	3750205	3854545	4006745	4462255	4346220	4448860	4536475	4780600	4545765	4928310	4663785	4647132	4544381
"Gifts or donations"	"$"	58694000	68456000	122140000	152243000	199689000	213463000	230342000	282782000	308956000	329834000	NA	NA	NA	NA	4.39e+08	4.71e+08	4.95e+08	539207259	564627744	610946663	685557681	744131056	867537254	925155255	1000823363	1202353414	1524305412	1615119212	1950764705	2385983131	2140788508	2032990857	2305010412	2297780863	2341333124	2615490438
"Cost of managing tax affairs"	"no."	1220190	1270935	1378025	1548180	1761740	1980660	2201205	2360410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4395795	4650215	4804840	4986900	5022235	5052485	5105485	5176160	5299925	5379390	5466180	5640455	5928905	5888415	6140470	6316893	6335227	6172012
"Cost of managing tax affairs"	"$"	37252000	42839000	51827000	64812000	81677000	100592000	121867000	147608000	168434000	NA	NA	NA	NA	NA	NA	NA	NA	NA	578145432	633988293	692716288	760745355	900840866	992466474	1071981916	1178269238	1302599141	1403481123	1533316026	1779505944	1985869879	2199647327	2341927738	2473280943	2489784682	2301076346
"Total supplement deductions2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	779050	809985	804375	832565	886815	911508	897639	873437
"Total supplement deductions2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9812713695	9536876051	8446398035	5938017697	6152910366	6392907774	4869682006	5547235380
"Total Deductions2"	"no."	NA	NA	NA	NA	NA	NA	NA	6100545	6175620	6583760	7092900	7360560	7446495	7554775	7363195	7387915	7582125	8031015	8158185	8275540	8371080	8602780	8694205	8714155	8856570	9136495	9471765	9712860	10036610	10362015	10307535	10385720	10673745	10846338	10671273	10440456
"Total Deductions2"	"$"	NA	NA	NA	NA	NA	NA	NA	5.044e+09	4.695e+09	6.152e+09	7.938e+09	8.772e+09	9.147e+09	1.2391e+10	1.1096e+10	1.1446e+10	1.1947e+10	14290028898	14905959754	15949822906	16368204755	14170352868	16085766130	17779939125	18941438452	21158365457	23927124226	28385384773	35881851958	34582105508	33780715488	31270446088	32997269759	34041772826	32360388719	33335459168
"Total income or loss less total deductions2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12403230	12887735	12731025	12885285	13111940	13307256	13167861	12908853
"Total income or loss less total deductions2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	530364487865	566312013592	578677509832	606273847676	660511413201	701617314134	730687322890	742586505029
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Losses"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax losses of earlier income years - Primary production losses carried forward from earlier income years"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41010	39925	44140	50770	48865	52205	56055	51012	48054	49655
"Tax losses of earlier income years - Primary production losses carried forward from earlier income years"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2314500859	2558585672	2842815837	3467405277	3973647379	4471897927	5222619254	5179614783	5189559029	5174249469
"Tax losses of earlier income years - Non-primary production losses carried forward from earlier income years"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106730	123070	143825	155605	164260	160420	161320	157588	161006	152902
"Tax losses of earlier income years - Non-primary production losses carried forward from earlier income years"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2733760649	3456942317	3890976063	4440973836	5338610574	6441083873	6766350976	6959012632	7103622224	6542837210
"Total tax losses of earlier income years carried forward from earlier income years"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	182210	199885	206165	204535	226810	199241	199539	192269
"Total tax losses of earlier income years carried forward from earlier income years"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6733791900	7908379113	9312257953	10912981800	11988970230	12138627415	12293181253	11717086679
"Tax losses of earlier income years - Primary production losses claimed this income year"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50135	42505	32820	38860	24425	21480	21695	27685	23660	23690	30520	23748	20564	23484
"Tax losses of earlier income years - Primary production losses claimed this income year"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2151769419	1899651113	1468744103	1584625144	487192508	429331953	443413076	579691534	562210447	521124493	882305348	666275891	606021892	654578785
"Tax losses of earlier income years - Non-primary production losses claimed this income year"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67485	79465	80730	85945	62825	64465	74185	77265	80675	84980	83080	79671	77534	73144
"Tax losses of earlier income years - Non-primary production losses claimed this income year"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1716508278	1821043014	1756492058	1796546884	688407065	788160840	926495266	984214264	1086391053	1378416041	1391552513	1296818781	1291934418	1229240835
"Total tax losses of earlier income years claimed this income year"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73310	80500	87185	80195	90485	86075	84755	94560	103410	102715	106845	111115	101278	96109	94533
"Total tax losses of earlier income years claimed this income year"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	842156636	1084818986	1127033851	991831902	1143097494	1173807715	1217492743	1369908342	1563905798	1648601500	1899540534	2273857861	1963094672	1897956310	1883819620
"Taxable income or loss2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12189910	12661075	12497395	12648555	13068025	13265848	13128246	12869988
"Taxable income or loss2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	532310873092	568595402462	581277500867	608133004479	658167177189	699637156136	728789304991	740702560422
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax offsets"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Spouse tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	947930	491840	468785	469340	469625	476545	361585	352525	351915	352885	354870	365810	367290	399445	383295	364835	326405	234380	100976	85613
"Spouse tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.15e+08	433138091	429700838	437020491	446460345	467287198	373215575	383488136	398880437	414514669	433214291	462652584	481793164	641398482	636918770	616185195	542566314	407221416	168085785	143386312
"Senior Australians tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27775	35840	40610	48680	305015	609220	618645	594750	611150	602160	644170	669430	632360	645850	655475	658118	NA	NA
"Senior Australians tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9661135	28663152	34259696	43218023	517019688	1171674399	1168996585	1085404078	1073996657	1075588643	1153880829	1263527458	910077288	945569900	980613967	983575781	NA	NA
"Pensioner tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	326935	354290	380655	525775	541430	572250	589655	577190	600660	618760	702460	748670	677915	651430	662225	564155	257610	270385	298035	305700	327500	319815	314240	279010	267775	241480	297508	NA	NA
"Pensioner tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	53257000	6.1e+07	6.3e+07	1.67e+08	2.67e+08	4e+08	4.02e+08	4.11e+08	4.79e+08	4.78e+08	594017470	675515266	610994687	604572460	657311333	1012548947	343522133	382340548	453018910	510690478	488209731	496200100	511889657	372745973	399465116	401580220	654811069	NA	NA
"Seniors and pensioners tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	623650	579489
"Seniors and pensioners tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	758570382	696321005
"Australian superannuation income stream tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	297765	164105	821450	672390	548360	573585	542165	516110	511965	474785	443525	438275	417850	341030	377335	416805	452940	231205	239975	244690	242415	224744	218954	221204
"Australian superannuation income stream tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2e+07	3.4e+07	5.5e+07	4.4e+07	3.5e+07	241577947	357522704	376373756	428243696	495190055	560992595	614400924	648266218	697368882	829872290	1015563999	1223455344	590953345	613924394	609295750	613035942	584875757	579894541	624069129
"Private health insurance tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	534720	453575	398870	360140	321830	295955	283770	274490	260735	261060	280970	265730	276545	NA	NA
"Private health insurance tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	201442479	185303477	170376052	170766654	169680575	174839300	182465499	181464080	179461412	183205720	196842365	194463594	213152603	NA	NA
"Your share of Australian Government private health insurance rebate received"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5822792	6295104
"Your share of Australian Government private health insurance rebate received"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3735845351	4085825177
"Private health insurance rebate"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	547090	657701
"Private health insurance rebate"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	199634100	215079858
"Excess private health reduction or refund (rebate reduced)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1426343	1662611
"Excess private health reduction or refund (rebate reduced)"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	508634386	579261102
"Total supplement tax offsets2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1555015	1466320	1493664	731660	667995
"Total supplement tax offsets2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	957676941	936900201	993846982	458097038	366545202
"Total tax offsets2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3148690	3097900	2108526	1251500	1048953
"Total tax offsets2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3042504627	3398569509	2501223482	2999929205	1787164101
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Adjustments"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Under 18 income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85430	125730	172745	184585	193390	183865	200920	211085	223080	226860	233250	263655	184090	165425	220540	143761	99567	83702
"Under 18 income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	595697484	673626442	928393968	1134972583	1149889698	1072007481	1170654719	1218101915	1504798758	1596351854	1675725501	1830461399	1454894043	1180293418	1224693032	1154741393	868810484	774965058
"Government super contributions - Income from investment, partnership and other sources"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75775	96200	72130	97786	65858
"Government super contributions - Income from investment, partnership and other sources"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	623039384	765916184	717483062	928164046	655190547
"Government super contributions - Other income from employment and business"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37660	40073	33529	48178	24770
"Government super contributions - Other income from employment and business"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	865927008	987908028	816668620	1024207466	526518527
"Government super contributions - Other deductions from business income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11855	12590	12119	15857	9482
"Government super contributions - Other deductions from business income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	128601542	161261608	159088903	208044796	115354452
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Income tests"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Total reportable fringe benefits amount"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	448395	469035	500065	545055	610490	674765	717580	785685	699955	726835	759085	772230	802457	832182	823022
"Total reportable fringe benefits amount"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5476706279	5929182921	5703191038	6549941124	7681367660	9256425965	9890788376	10575070112	11081223311	11828372437	12343727216	12914808488	13676598162	14761064822	15277162017
"Reportable employer superannuation contributions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1210295	1215415	1257445	1314427	1321770
"Reportable employer superannuation contributions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11393549608	12322524673	13068638961	9679052307	10538920483
"Tax-free government pensions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80840	122195	168313	203807	194410
"Tax-free government pensions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	867641235	1344520697	1965697181	2454767906	2570552346
"Target foreign income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11660	10010	9289	16954	10665
"Target foreign income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	406007330	357173280	373924690	692670055	502405582
"Net financial investment loss"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131155	130290	124603	134247	101871
"Net financial investment loss"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	909704586	901167690	807836461	864604849	615515956
"Net rental property loss"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	969770	1028205	1097168	1339111	1286264
"Net rental property loss"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9101103461	11285367886	12915488586	12891833779	11288840490
"Child support you paid"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93795	98875	105103	158110	130496
"Child support you paid"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	561736238	657212102	677584834	1096117148	1004933232
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Supplementary section"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Partnerships and trusts - Primary production"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Distribution from partnerships - primary production – profit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101445	106485	96040	91325	103450	94609	82034	85971
"Distribution from partnerships - primary production – profit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2395892048	2979178479	2567438776	2166754758	3576439013	3042217980	2632194650	3085716301
"Distribution from partnerships - primary production – loss"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	142705	130235	130540	129415	110075	113281	120123	106216
"Distribution from partnerships - primary production – loss"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2789756259	-2705438283	-2738401053	-2857697326	-2121592267	-2267176173	-2557715795	-2172324489
